token_id,ethscription_number,ethscription_id,attributes
2006,1361661,0xfe77b77f09dbbb2e9aa10bb4fb81c29579217bd4cd4cf7f1d92860ec5154dcd6,"[{""trait_type"":""Glasses"",""value"":""Black Rectangular Glasses""},{""trait_type"":""Hair"",""value"":""Black Bowl cut ""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Blue Tie ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Yellow Background ""}]"
2005,1361658,0x5432114493a96db94a2e7b73c0b32f368527e74862efeab8747173e16bca6820,"[{""trait_type"":""Glasses"",""value"":""No Glasses ""},{""trait_type"":""Hair"",""value"":""Brown Hair ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Red Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Green Background ""}]"
2004,1361652,0xfbc675b017bb222e212bd33953430b0709088378b835b52a468d4758b9f8fbfb,"[{""trait_type"":""Glasses"",""value"":""Green Round Glasses ""},{""trait_type"":""Hair"",""value"":""Yellow Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Blue T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Blue Background ""}]"
2003,1361647,0x8f39d7b46015ec0afbf262207021b08b3d47914010e374d2962a7a3b09187ebd,"[{""trait_type"":""Glasses"",""value"":""Blue Rectangular Glasses""},{""trait_type"":""Hair"",""value"":""Red Messy Hair ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Blue Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Cyan Background ""}]"
2002,1361639,0xc877347e074da0b92c7e740d03392a51fc8b202d2935c8901d448d5e73eefe83,"[{""trait_type"":""Glasses"",""value"":""White Round Glasses ""},{""trait_type"":""Hair"",""value"":""Blonde Messy Hair ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Red T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Yellow Background ""}]"
2001,1361629,0xa5a3713312aa6cd01b1e53e77c369bca9f12f37901127e5faee7905e3eb6729c,"[{""trait_type"":""Glasses"",""value"":""Blue Round Glasses ""},{""trait_type"":""Hair"",""value"":""Black Bowl cut ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Red T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Cyan Background ""}]"
2000,1361616,0xceabdd16e747c014a26f0e79a88bd80aa4bbad64e055a445873caa926aecb5d1,"[{""trait_type"":""Glasses"",""value"":""Blue Rectangular Glasses ""},{""trait_type"":""Hair"",""value"":""Black Hair ""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Red T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Red Background ""}]"
1999,1361608,0x6a688c6b11792a88448a7d55cfb8a502620e00362abcc713432dff85fdaf381c,"[{""trait_type"":""Glasses"",""value"":""Yellow Rectangular Glasses""},{""trait_type"":""Hair"",""value"":""Red Hair ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Red Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Yellow Background ""}]"
1998,1358783,0x1ef4df2694b3240f83d45553ac6a45c11bc2847fc7c82d1c988e613002d99145,"[{""trait_type"":""Glasses"",""value"":""Red Rectangular Glasses ""},{""trait_type"":""Hair"",""value"":""Red Short Hair ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Red  T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Green Background ""}]"
1997,1358881,0xc4f5192c9e1595f9dbeb7198bbbc8fed6fb45526e296050202a5e45abec50904,"[{""trait_type"":""Glasses"",""value"":""No Glasses ""},{""trait_type"":""Hair"",""value"":""Blonde Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Red  T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Green Background ""}]"
