contract,token_id,ethscription_number,ethscription_id,attributes
0x41d34a994091307e3bec3166e6d477156b32c1f1,241,847557,0xe1fb3c279e3d000238200bb88d645bfcd7fbb764b66517b00aee08f539521d0c,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,240,847553,0xfd7cecb4b99e4d6b79b75b1c1093cd8fdcec11d23148249b4f5f20e126e2b2ff,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,239,847551,0x9a8a3646704dda6e8d01953b136d0869783189b940d02f11a7be2674005db08d,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,238,847538,0x6844d1e8e461fc9d892b0e6b6d1f9510b501f82cda516a79b882fe9c1c2fb481,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,237,847529,0xc9f8070349750a418a27474d84103e588a5c7478b0bb5c306a12e412f6b31c06,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,236,847518,0xc27244a4e567306ac7b03ed259211d5e3563a4cc8b417ced4fd01ee1506fd2e2,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,235,847512,0xe1c36ca5471b2ef884154fadd5a28908be2dc6497646cfb3a8a6a95f6446515d,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,234,847488,0x7eecd07e6260954e7ffd4d5d8246e2c0193debcb09f95c8bdfde1f35d4ea68c0,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,233,847449,0x541f241029da3dc53de29b53a1bd631805d85b35d88267c57545ba6d2850e803,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,232,847442,0x74c0a5b86c5dde1fd4e3f48898b28290d91a1839bfb37ce73f72884228912504,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,231,847300,0x4a2fbd52d3a9b105b8a34c56946378f7023470fe05684d6ef17db5c7ff42131f,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,230,847338,0xa5a8404e3288a320f434005fadd7271670f7a16b2e19467da6b957a68fecf4fb,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,229,847265,0x337cb2f6db042789b7a9efe3dc181a192913039205b70b3e1fbc9cf3346bc5cf,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,228,847211,0xa12c941870f240355dfd33e35d5649ff33bc1a5d24b2efd8047682c399936f2c,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,227,847183,0xe5195360b2cd4ee3d877655a27dfeaaebb9ed3852209002317339cdf181fa5b1,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,226,847160,0xe27da6bbe62bd20b436b1264cd178cd10a26ea53d322c70c80bfc114f5fa5a9d,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,225,846789,0xf392c3cfee59740ea19e654d23a523880c4d25fe3c52998d7136570f7eae98b6,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,224,846765,0xf07cccafc6788d5a6d19c175b066f2006d27ac7fe3470ba9304813a5d367e8e3,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,223,846970,0xeebf4377f76d9e41d6c149a73d00d6e6dc1a033a1b22e3b147c218c408363ba2,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,222,846818,0xe2da039dfac6c8e9b209b48e7d1c53e7522ccacf38f9fa204e28af61d596098e,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,221,846748,0xd944c95ffa9f6e0b2ae3508c409ccc1e2ff6ca1b7774f371b13494fa4ea7c6bc,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,220,846887,0xc9eba110f34781516fdf34b72916d3e7d82874553ddcd0986466d3f12abb7769,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,219,846908,0xbd7a0e67b56e8188469aebcf28cff5c42c9db3e179f6b726d3655cbb44277a09,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,218,847106,0xb71438544f892e86110fce9f096db348b03b975d6e40f4cdeea33b74bfd66e43,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,217,846988,0xac6196ecf92771222f2792523c47c3ea3048d2f6e20523cca78aff6acb46d52a,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,216,846798,0x98da5d6587e5efb93e95edc9ce2ad7388abb72151c84218be5c7918628e496aa,"[]"
0x41d34a994091307e3bec3166e6d477156b32c1f1,215,846735,0x93412d49e6a227a1cd6acc2752ad6fcf5cf8b5afd635696d7a77e4bd4794fca8,"[]"
